username,komentar,sentimen,Waktu,,,
ramadhonarice,Pak saya mau nikah pak thn ini.tapi wna belum bole masuk indonesia...tolong pakkkkkk di bukakan semua airport untuk WNa bisa masuk indonesia,Negatif,30/07/20 06:49:57,,Positif,399
ninikkurnialatifa,"Tetap semangat pak Jokowi,mempertahankan negara kita ini",Positif,30/07/20 07:15:32,,Negatif,401
ernayulaika,Pak jokowi ... tolong lah psbb nya di selesaikan scepatnya ... kami juga kan butuh pekerjaan dan gaji normal utk bayar hutang dan keperluan lainnya ... yg penting jalankan protokol kesehatannya ... sdgkan BLT dan PRAKERJA PUN BELUM CAIR SMPE SAAT INI ...,Negatif,02/08/20 10:16:26,,,
omaning2302,Sehat terus ya pak,Positif,02/08/20 14:37:56,,,
dimsumal_dion,Pak gimana mw berjuang.. suami saya udh gak kerja.. sedangkan pemerintahan tidak memikirkan rakyat kecil..,Negatif,02/08/20 17:37:45,,,
eviselalusibuk,Keinginan sih banyak nih.mau bikin.pizza goreng.mau bikin face sield mau bikin masker..modalnya gak ada,Negatif,03/08/20 00:32:37,,,
onyesrania_23,Kami akan selalu berjuang dan semangt pak....,Positif,03/08/20 02:30:52,,,
widiirawan__,Tetap semangat pak,Positif,03/08/20 05:47:25,,,
ksjxmoon._,Halo pak jokowi Sehat2 terus ya,Positif,03/08/20 07:35:06,,,
mariaanacostafelix,"Tuhan selalu mendampingi  bapa , berjuang demi  masyarakat",Positif,03/08/20 22:29:01,,,
andre.lionisme,"kami udah berjuang pak walaupun covid itu masih tanda tanya bagi kami,yg jadi masalah kenapa tes rapit sangat mahal sampe 550 ribu bayangin pak kami rakyat kecil malah semakin susah kalau nurutin peraturan kyk gini mau sampe kapan bpk harus tindak tegas sama oknum2 yg ngambil kesempatan ujung2 nya uang uang.",Negatif,05/08/20 01:44:52,,,
zhidan11_,BHINEKA TINGGAL DUKA,Negatif,06/08/20 12:17:19,,,
afimuafifah,"pusing Pak hidup lg susah di tambah anak suruh belajar online..tolong pak pikirin rakyat kecil..jgn mikirin anak sendiri yg lagi nyalon walkot..perjuangkan rakyat kecil Pak, jangan cuma perjuangin anak sendiri",Negatif,06/08/20 13:14:51,,,
kyrie_agaki,"Bapak tolong kami, kami tidak pernah dapatkan bantuan apapun dr pemerintah",Negatif,06/08/20 15:33:35,,,
ahmd_hidyt,Pandemi itu hoax,Negatif,07/08/20 12:02:14,,,
arief_pramono123,Iya pak tetap berjuang untuk menyelesaikan masalah Ekonomi dan pandemi,Positif,08/08/20 07:47:06,,,
ariksukowati9, @jokowi semangat bpk,Positif,08/08/20 09:33:07,,,
firoy_yana7,Semangat ya pak,Positif,09/08/20 09:48:54,,,
anzelita_madeira_monis,Semangat BPK maju terus,Positif,09/08/20 11:31:27,,,
dhao7r,Yesus mengasihimu,Positif,09/08/20 19:47:43,,,
aldonaauliafitria,Semangat pak jokowi jangan patah semangat terus dan tetap berjuang rakyatmu selalu mendukung mu dalam kaadaan apapun. Pak jokowi jangan patah semangat kami disini selalu mendoakanmu agar pai jokowi bisa menjaga rakyat2mu.,Positif,10/08/20 09:31:54,,,
ozaozaputra,Semangat trus pak..dan sy ga sia2 pilih pak jokowi 2 kali...Alhamdulillah sy dpt menikmati programnya juga..trimakasih pak …,Positif,11/08/20 02:26:10,,,
irfan.saputra23,Assalamualaikum pak beli ikan cupang saya pak ...hehe selama pandemi saya ternak cupang kali bapak @jokowi bisa bantu di tengah pandemi...makasih pak,Positif,11/08/20 04:27:27,,,
harry_koesnadi,Kok saya sangsi akan Pandemi ini pak.. soalnya ditempat saya ada kejadian kasus org negatif covid masa diberitakan ya positif dan itu masuk tv pula..kayanya ada yg janggal dgn kasus covid yg trs bertambah pak.. jangan2 ada mafia nya lagi??.. tolong pak jgn sampai hal2 seperti itu merajalela deh pak.. ,Negatif,11/08/20 05:41:47,,,
loli_hunter772,Semoga masuk sekolah dapet sepeda:v,Positif,11/08/20 10:02:31,,,
zelmira.ar,Kami semua mendukung bapak jokowi... Tetap semangat di tengah pandemi ini,Positif,12/08/20 13:13:02,,,
astuti_astuti_oioi,Semangat terus pokoknya pak,Positif,12/08/20 14:35:29,,,
m_dzaky_yf2010,Kita harus sabar,Positif,13/08/20 13:55:31,,,
m_dzaky_yf2010,tidak bisa sekolah,Negatif,13/08/20 13:55:46,,,
syifalkamal,Pak saya ingin sekolah...gak mau kaya online begini,Negatif,14/08/20 06:23:30,,,
candradeni24,Tetap Selalu Semangat Pak De,Positif,16/08/20 02:39:56,,,
aarrdinsyh_,MALL DI BUKA KENAPA PEDAGANG KAKI LIMA DI OBRAK?,Negatif,16/08/20 05:53:33,,,
nurfazadzakiyyah,Selalu produktif dan kreatif dimasa pandemi ya pak,Positif,16/08/20 17:44:09,,,
nonacharlesmile_nauwe,Pak sehat slu..,Positif,17/08/20 00:35:17,,,
nonacharlesmile_nauwe,Semangat slu pak..Tuhan slu bersamamu ,Positif,17/08/20 00:35:51,,,
zafneahmichael,siapp Pak Jokowi,Positif,18/08/20 06:21:56,,,
limanime_9,Gimana utang ke china apa sudah lunas?,Negatif,18/08/20 13:21:42,,,
vegraardian,Sip pak,Positif,21/08/20 04:43:32,,,
venny_adelia7,apa kabar pak semoga sehat selalu amin,Positif,01/09/20 06:50:14,,,
aryalatif6,Terima kasih bapak presiden ku tercinta atas PLN gratis dimasa pandemi semoga allah selalu menjaga bapak,Positif,01/09/20 15:42:01,,,
rizkyy_setyadi,Makasih pak,Positif,02/09/20 04:48:58,,,
adhellebungzu,"Terima kasih BPK PRESIDEN KU tercinta, atas PLN gratis di tengah pandemi, semoga Tuhan Yesus memberkati, bpk",Positif,02/09/20 14:14:40,,,
deviimuspitasari,masyaallah sangat tersentuh,Positif,05/09/20 15:41:38,,,
yatnab,Prakerja mU gak bermanfaat,Negatif,07/09/20 05:03:45,,,
endahmustopo,Kapan berakhirnya covid 19 ini pak,Negatif,07/09/20 12:31:53,,,
rayendbonjol,Mantap selalu Pak Presiden.......,Positif,07/09/20 13:06:58,,,
rayendbonjol,Mantap......,Positif,07/09/20 13:07:00,,,
spongebob_tek0,Hayuuuuk,Positif,07/09/20 13:49:13,,,
ichsankjppratama,Siap pak,Positif,07/09/20 13:57:12,,,
mu_hammad9639,Trimakasih banyak yth bapa presiden  ri telah mengingatkan untuk masarakatnya,Positif,07/09/20 14:20:40,,,
guruhrobert,Setuju.,Positif,07/09/20 15:16:46,,,
moymoy882,Maaf pak Jokowi pertanyaan saya mungkin lain dgn kegiatan bapak pak saya mau tanya gas elpiji 3 kg subsidinya bisa nggak di cabut karna yg pakai elpiji tersebut byk org yg mampu rumah sendiri permanen lagi sementara seperti saya rumah masih kontrak tidak dpt gas tersebut saya ibu rumahtangga pak maksud saya gas kecil saya bisa bawa dak usah nunggu suami di lapangan masyarakat sanggup beli 20-30 rb tolonglah pak dengar suara ibu rumahtangga seperti saya ini jgn sampai setiap pangkalan sekendak hatinya saja pakai kartu  harus org yg tetap tinggal di sana yg berarti punya rumah sendiri sementara yg kontrak tidak dpt kami ini org nggak punya makanya kami pindah pindah mau cari kontrak murah bukan saya nggak mau ke anggota DPR hanya di jawab iya nanti pelaksanaanya 10 tahun yg akan datang jadi saya harap bapak mau mendengar keluh saya bagaimana dulu bapak bersama ibu bapak Jokowi masa kecil org kecil seperti saya ini tdk minta apa asal jgn di persulit hidup kami ini pak terimakasih atas perhatiaan bapak jokowi,Negatif,07/09/20 22:06:44,,,
imus73,"Assalamualaikum wr.wb selamat pagi Pa Jokowi , semoga di berikan kesehatan selalu serta di mudahkan dalam segala urusannya,  alhamdulillah",Positif,07/09/20 22:59:14,,,
